question_type,left_number,right_number,correct_answer,user_answer,response_time_sec,at_risk
Which is smaller?,45,46,left,left,4.44,0
Choose the number closest to 10.,29,89,left,left,3.24,0
Which is bigger?,98,54,left,left,3.86,0
Which is bigger?,70,14,left,left,4.88,0
Which is bigger?,32,57,right,right,4.79,0
Which is bigger?,18,12,left,left,3.98,0
Which is smaller?,48,55,left,left,2.23,0
Choose the number closest to 10.,22,98,left,left,6.99,1
Which is bigger?,23,97,right,right,5.75,0
Choose the number closest to 10.,33,68,left,left,4.72,0
Choose the number closest to 10.,57,51,right,right,3.25,0
Choose the number closest to 10.,80,8,right,right,3.89,0
Which is bigger?,11,78,right,left,6.18,1
Which is bigger?,3,31,right,left,8.9,1
Choose the number closest to 10.,44,10,right,right,4.26,0
Which is smaller?,8,40,left,left,3.22,0
Choose the number closest to 10.,43,93,left,left,3.53,0
Choose the number closest to 10.,70,19,right,left,8.68,1
Which is bigger?,87,91,right,right,5.6,0
Which is smaller?,30,87,left,right,9.29,1
Which is bigger?,98,28,left,left,4.76,0
Which is bigger?,100,68,left,right,6.62,1
Choose the number closest to 10.,5,40,left,left,0.76,0
Which is bigger?,85,38,left,left,4.3,0
Which is bigger?,19,48,right,right,4.0,0
Which is bigger?,52,39,left,left,4.14,0
Choose the number closest to 10.,19,71,left,left,4.05,0
Choose the number closest to 10.,31,14,right,right,2.67,0
Which is bigger?,61,47,left,left,4.56,0
Which is smaller?,49,60,left,left,4.63,0
Choose the number closest to 10.,9,15,left,left,4.68,0
Which is smaller?,76,4,right,right,4.95,0
Choose the number closest to 10.,34,25,right,left,7.91,1
Choose the number closest to 10.,91,26,right,right,3.59,0
Which is bigger?,56,79,right,right,3.93,0
Which is bigger?,5,88,right,right,4.09,0
Which is bigger?,86,75,left,left,4.11,0
Which is bigger?,87,83,left,left,5.0,0
Which is bigger?,53,19,left,left,4.64,0
Which is bigger?,87,60,left,left,6.08,1
Which is smaller?,44,9,right,left,10.31,1
Which is bigger?,21,66,right,right,4.08,0
Which is smaller?,19,88,left,left,0.5,0
Choose the number closest to 10.,7,94,left,left,5.24,0
Which is bigger?,80,20,left,left,3.46,0
Choose the number closest to 10.,71,32,right,right,3.2,0
Which is bigger?,42,57,right,right,3.6,0
Which is smaller?,56,100,left,left,3.55,0
Which is bigger?,46,18,left,left,4.61,0
Choose the number closest to 10.,58,63,left,left,2.44,0
Choose the number closest to 10.,38,45,left,right,5.38,1
Choose the number closest to 10.,80,94,left,left,4.34,0
Which is bigger?,8,33,right,right,4.62,0
Which is bigger?,2,23,right,right,4.64,0
Choose the number closest to 10.,49,96,left,right,5.82,1
Which is bigger?,72,64,left,left,3.02,0
Which is bigger?,28,96,right,left,6.24,1
Choose the number closest to 10.,45,8,right,right,4.24,0
Which is smaller?,65,52,right,right,5.49,0
Which is smaller?,7,31,left,left,1.95,0
Which is bigger?,35,2,left,left,3.78,0
Choose the number closest to 10.,27,35,left,left,2.67,0
Choose the number closest to 10.,59,87,left,left,2.35,0
Choose the number closest to 10.,9,69,left,left,4.97,0
Which is bigger?,31,55,right,right,4.54,0
Which is bigger?,6,10,right,left,7.67,1
Choose the number closest to 10.,86,17,right,right,4.92,0
Which is bigger?,7,97,right,right,3.52,0
Which is bigger?,32,36,right,right,3.57,0
Which is bigger?,70,40,left,left,6.19,1
Which is bigger?,13,31,right,right,3.75,0
Choose the number closest to 10.,22,47,left,left,4.74,0
Which is bigger?,5,99,right,right,4.01,0
Which is bigger?,88,94,right,right,2.15,0
Choose the number closest to 10.,50,67,left,left,1.96,0
Choose the number closest to 10.,53,29,right,right,3.42,0
Which is bigger?,31,69,right,right,5.06,0
Choose the number closest to 10.,88,12,right,right,4.79,0
Choose the number closest to 10.,62,32,right,right,4.91,0
Choose the number closest to 10.,2,60,left,left,3.01,0
Choose the number closest to 10.,91,40,right,right,5.62,0
Which is smaller?,62,24,right,right,3.04,0
Which is bigger?,46,17,left,left,4.21,0
Choose the number closest to 10.,92,13,right,right,3.99,0
Which is smaller?,2,59,left,left,3.83,0
Which is bigger?,35,72,right,right,5.34,0
Which is bigger?,84,86,right,right,3.29,0
Choose the number closest to 10.,42,14,right,right,2.65,0
Which is smaller?,1,68,left,left,4.02,0
Which is bigger?,100,75,left,left,3.6,0
Choose the number closest to 10.,34,83,left,left,7.38,1
Which is smaller?,47,54,left,left,4.68,0
Which is bigger?,79,51,left,left,3.59,0
Which is smaller?,15,77,left,left,2.94,0
Which is smaller?,64,11,right,right,2.12,0
Which is smaller?,94,88,right,left,5.46,1
Choose the number closest to 10.,97,87,right,right,4.11,0
Which is smaller?,97,19,right,left,9.14,1
Which is bigger?,75,46,left,left,5.12,0
Which is bigger?,95,52,left,left,4.23,0
Which is smaller?,100,57,right,right,3.68,0
Which is bigger?,48,47,left,left,4.27,0
Which is smaller?,13,26,left,left,3.48,0
Choose the number closest to 10.,62,96,left,left,5.72,0
Which is bigger?,22,94,right,right,3.81,0
Choose the number closest to 10.,84,92,left,left,3.91,0
Which is smaller?,86,49,right,left,3.68,1
Which is smaller?,39,51,left,right,6.71,1
Which is bigger?,64,55,left,left,4.84,0
Which is bigger?,1,38,right,left,5.4,1
Which is bigger?,10,59,right,right,3.25,0
Which is bigger?,88,39,left,left,4.79,0
Choose the number closest to 10.,14,48,left,left,2.52,0
Choose the number closest to 10.,30,15,right,right,5.06,0
Choose the number closest to 10.,95,54,right,right,3.47,0
Which is smaller?,34,62,left,left,3.61,0
Which is smaller?,50,41,right,right,2.88,0
Choose the number closest to 10.,50,76,left,left,4.38,0
Which is smaller?,3,28,left,left,6.46,1
Choose the number closest to 10.,100,30,right,right,4.78,0
Which is smaller?,70,29,right,right,3.14,0
Choose the number closest to 10.,83,30,right,right,5.14,0
Which is bigger?,89,11,left,left,3.68,0
Choose the number closest to 10.,24,96,left,right,9.06,1
Choose the number closest to 10.,77,15,right,right,4.81,0
Which is bigger?,62,8,left,left,1.06,0
Choose the number closest to 10.,29,36,left,left,3.0,0
Which is smaller?,7,49,left,left,4.94,0
Choose the number closest to 10.,19,75,left,left,4.15,0
Choose the number closest to 10.,58,22,right,right,2.98,0
Which is bigger?,36,62,right,right,3.37,0
Which is bigger?,3,12,right,right,2.09,0
Which is smaller?,90,75,right,right,3.91,0
Which is smaller?,84,7,right,left,10.32,1
Which is smaller?,43,87,left,left,4.8,0
Choose the number closest to 10.,94,67,right,right,6.19,1
Choose the number closest to 10.,62,37,right,right,4.88,0
Which is smaller?,80,77,right,right,5.03,0
Which is bigger?,18,14,left,left,5.97,0
Which is bigger?,36,70,right,left,7.57,1
Which is smaller?,54,46,right,right,3.81,0
Which is bigger?,71,80,right,right,5.03,0
Which is bigger?,2,56,right,right,5.45,0
Which is bigger?,81,88,right,left,6.28,1
Choose the number closest to 10.,41,53,left,right,5.92,1
Which is bigger?,53,26,left,right,7.21,1
Which is bigger?,77,60,left,right,8.25,1
Which is smaller?,46,58,left,right,8.2,1
Choose the number closest to 10.,97,54,right,right,2.58,0
Choose the number closest to 10.,40,78,left,left,5.91,0
Which is smaller?,72,65,right,right,3.36,0
Choose the number closest to 10.,28,68,left,right,6.6,1
Choose the number closest to 10.,76,83,left,left,3.1,0
Choose the number closest to 10.,7,51,left,left,6.7,1
Which is bigger?,90,7,left,left,4.24,0
Which is bigger?,83,2,left,left,3.15,0
Which is smaller?,64,45,right,right,4.86,0
Choose the number closest to 10.,90,22,right,right,4.77,0
Which is bigger?,89,25,left,left,3.81,0
Which is bigger?,31,10,left,left,4.84,0
Choose the number closest to 10.,43,35,right,right,3.17,0
Which is bigger?,40,89,right,right,3.51,0
Which is bigger?,32,61,right,right,1.99,0
Choose the number closest to 10.,46,96,left,left,2.68,0
Choose the number closest to 10.,100,43,right,right,5.81,0
Which is smaller?,89,54,right,left,9.46,1
Which is bigger?,88,77,left,right,7.1,1
Choose the number closest to 10.,98,16,right,right,5.66,0
Which is smaller?,94,28,right,right,3.84,0
Which is bigger?,19,42,right,right,3.76,0
Which is smaller?,14,57,left,right,7.08,1
Which is bigger?,77,90,right,right,3.88,0
Which is smaller?,72,9,right,right,3.78,0
Which is smaller?,64,54,right,left,8.72,1
Which is bigger?,91,24,left,left,4.15,0
Which is smaller?,5,16,left,left,4.71,0
Which is smaller?,30,74,left,left,5.03,0
Which is smaller?,34,13,right,left,7.58,1
Choose the number closest to 10.,99,72,right,right,3.03,0
Which is bigger?,13,41,right,right,2.65,0
Which is bigger?,78,32,left,left,4.15,0
Which is smaller?,77,52,right,right,3.83,0
Choose the number closest to 10.,44,100,left,right,7.13,1
Which is bigger?,84,76,left,left,3.98,0
Choose the number closest to 10.,40,47,left,right,10.88,1
Choose the number closest to 10.,69,60,right,right,2.67,0
Which is smaller?,94,5,right,right,2.01,0
Choose the number closest to 10.,79,78,right,left,7.5,1
Choose the number closest to 10.,14,59,left,left,3.62,0
Which is bigger?,43,84,right,left,7.47,1
Which is bigger?,54,52,left,left,4.58,0
Which is bigger?,27,28,right,left,8.93,1
Which is smaller?,25,55,left,left,2.49,0
Which is smaller?,89,18,right,right,3.44,0
Choose the number closest to 10.,29,91,left,left,4.43,0
Which is bigger?,91,24,left,left,4.77,0
Choose the number closest to 10.,22,83,left,left,6.19,1
Which is smaller?,13,89,left,left,4.96,0
Choose the number closest to 10.,30,8,right,right,3.94,0
Which is bigger?,24,94,right,right,3.11,0
Which is smaller?,40,2,right,right,3.44,0
Choose the number closest to 10.,13,84,left,left,3.41,0
Which is smaller?,35,22,right,right,4.66,0
Choose the number closest to 10.,35,20,right,right,4.26,0
Choose the number closest to 10.,4,21,left,left,2.68,0
Which is bigger?,97,48,left,left,3.56,0
Choose the number closest to 10.,40,57,left,left,4.88,0
Choose the number closest to 10.,12,16,left,left,4.35,0
Choose the number closest to 10.,55,85,left,left,4.57,0
Which is smaller?,54,36,right,right,4.38,0
Choose the number closest to 10.,37,14,right,right,5.63,0
Which is smaller?,25,80,left,left,4.24,0
Choose the number closest to 10.,9,25,left,left,3.61,0
Which is smaller?,40,82,left,left,3.08,0
Which is smaller?,12,88,left,left,4.25,0
Which is bigger?,66,23,left,left,1.56,0
Which is bigger?,86,100,right,right,3.82,0
Choose the number closest to 10.,26,41,left,left,3.79,0
Choose the number closest to 10.,35,24,right,right,2.64,0
Choose the number closest to 10.,23,5,right,right,3.07,0
Which is bigger?,31,62,right,right,4.81,0
Which is smaller?,56,75,left,left,4.23,0
Which is smaller?,77,23,right,right,4.1,0
Choose the number closest to 10.,45,30,right,right,4.31,0
Which is smaller?,12,73,left,left,4.09,0
Which is bigger?,81,70,left,left,5.24,0
Which is bigger?,78,87,right,right,4.12,0
Choose the number closest to 10.,30,40,left,left,2.54,0
Choose the number closest to 10.,81,20,right,right,5.63,0
Which is smaller?,55,87,left,left,4.37,0
Choose the number closest to 10.,25,35,left,left,3.41,0
Which is bigger?,39,87,right,right,2.75,0
Choose the number closest to 10.,30,31,left,left,4.4,0
Which is smaller?,48,14,right,left,6.82,1
Choose the number closest to 10.,68,49,right,right,5.57,0
Choose the number closest to 10.,33,94,left,left,3.65,0
Which is smaller?,100,47,right,left,5.74,1
Which is bigger?,37,32,left,left,4.9,0
Which is bigger?,50,80,right,left,8.39,1
Choose the number closest to 10.,43,44,left,left,4.17,0
Which is smaller?,27,44,left,right,8.01,1
Which is bigger?,74,45,left,left,3.96,0
Choose the number closest to 10.,82,67,right,left,7.35,1
Which is smaller?,78,35,right,left,8.75,1
Which is smaller?,81,2,right,right,4.63,0
Which is smaller?,78,55,right,right,3.83,0
Which is bigger?,42,77,right,right,5.35,0
Which is smaller?,52,43,right,right,1.64,0
Which is smaller?,16,71,left,left,6.05,1
Which is bigger?,5,98,right,right,2.29,0
Choose the number closest to 10.,44,36,right,right,3.37,0
Choose the number closest to 10.,59,28,right,left,6.94,1
Which is smaller?,95,94,right,right,3.85,0
Which is smaller?,86,49,right,right,5.01,0
Which is smaller?,56,58,left,left,2.94,0
Choose the number closest to 10.,75,34,right,right,4.26,0
Which is smaller?,90,14,right,right,3.42,0
Choose the number closest to 10.,3,56,left,left,4.3,0
Which is bigger?,34,80,right,right,3.94,0
Which is bigger?,11,4,left,right,7.14,1
Which is bigger?,68,34,left,left,3.45,0
Choose the number closest to 10.,58,14,right,right,3.49,0
Which is smaller?,46,54,left,left,4.29,0
Which is smaller?,1,84,left,left,4.94,0
Choose the number closest to 10.,94,65,right,right,3.4,0
Which is bigger?,88,13,left,left,3.13,0
Choose the number closest to 10.,38,34,right,right,4.61,0
Choose the number closest to 10.,88,24,right,right,3.97,0
Choose the number closest to 10.,27,48,left,left,4.83,0
Choose the number closest to 10.,56,74,left,left,3.09,0
Which is bigger?,36,42,right,right,2.22,0
Which is bigger?,83,43,left,left,3.47,0
Which is smaller?,91,74,right,right,3.23,0
Which is bigger?,63,44,left,left,3.92,0
Which is bigger?,92,96,right,left,6.04,1
Which is bigger?,72,56,left,left,4.74,0
Choose the number closest to 10.,69,76,left,left,3.71,0
Which is smaller?,58,16,right,right,4.15,0
Which is bigger?,17,43,right,right,4.16,0
Choose the number closest to 10.,31,69,left,left,4.19,0
Choose the number closest to 10.,63,55,right,right,3.98,0
Which is smaller?,39,66,left,right,7.77,1
Which is bigger?,81,53,left,left,3.2,0
Which is bigger?,67,83,right,right,5.4,0
Which is bigger?,98,96,left,left,3.76,0
Choose the number closest to 10.,7,86,left,left,2.69,0
Which is smaller?,66,45,right,right,4.19,0
Choose the number closest to 10.,11,3,left,left,3.15,0
Which is bigger?,57,71,right,right,4.67,0
Choose the number closest to 10.,43,11,right,left,10.31,1
Choose the number closest to 10.,84,27,right,right,3.21,0
Which is smaller?,83,65,right,left,7.5,1
Which is bigger?,91,63,left,left,2.24,0
Choose the number closest to 10.,49,98,left,left,4.45,0
Which is bigger?,50,42,left,left,3.11,0
Which is bigger?,25,96,right,right,3.38,0
Which is smaller?,39,88,left,left,2.9,0
Choose the number closest to 10.,77,34,right,right,4.73,0
Choose the number closest to 10.,49,96,left,left,5.01,0
Which is bigger?,30,14,left,left,4.02,0
Choose the number closest to 10.,20,26,left,left,3.14,0
Which is smaller?,87,54,right,right,5.59,0
Choose the number closest to 10.,96,7,right,right,3.25,0
Which is bigger?,16,58,right,right,1.84,0
Which is smaller?,60,55,right,right,4.46,0
Which is smaller?,18,50,left,left,2.9,0
Which is smaller?,57,69,left,left,4.99,0
Which is bigger?,66,79,right,left,6.43,1
Choose the number closest to 10.,78,63,right,left,7.91,1
Which is smaller?,64,99,left,right,9.1,1
Choose the number closest to 10.,35,88,left,left,2.79,0
Which is bigger?,37,65,right,right,3.43,0
Which is bigger?,76,46,left,right,6.89,1
Which is smaller?,96,59,right,right,5.54,0
Which is bigger?,97,31,left,left,3.34,0
Which is smaller?,54,72,left,left,3.41,0
Which is bigger?,34,20,left,left,4.48,0
Which is smaller?,54,60,left,left,3.42,0
Which is smaller?,77,57,right,right,4.15,0
Which is smaller?,12,10,right,right,2.45,0
Which is smaller?,99,27,right,right,6.21,1
Which is bigger?,8,80,right,right,2.65,0
Which is bigger?,83,92,right,right,3.68,0
Which is smaller?,95,5,right,right,3.97,0
Which is smaller?,51,46,right,right,5.91,0
Which is bigger?,31,96,right,right,2.68,0
Which is smaller?,44,32,right,right,5.98,0
Which is smaller?,84,85,left,left,4.76,0
Which is bigger?,44,24,left,right,7.63,1
Choose the number closest to 10.,17,53,left,left,3.02,0
Which is bigger?,81,88,right,left,7.86,1
Choose the number closest to 10.,98,2,right,left,5.91,1
Which is bigger?,34,60,right,right,5.27,0
Choose the number closest to 10.,95,11,right,right,3.03,0
Choose the number closest to 10.,32,40,left,left,3.89,0
Choose the number closest to 10.,47,54,left,left,3.44,0
Choose the number closest to 10.,89,98,left,left,3.01,0
Choose the number closest to 10.,76,95,left,left,4.74,0
Which is smaller?,11,12,left,left,4.54,0
Choose the number closest to 10.,41,65,left,left,5.21,0
Which is smaller?,36,52,left,left,2.22,0
Which is smaller?,94,40,right,right,5.06,0
Which is smaller?,12,66,left,left,6.51,1
Choose the number closest to 10.,53,66,left,left,3.55,0
Which is bigger?,36,93,right,right,5.9,0
Choose the number closest to 10.,53,52,right,right,3.74,0
Which is smaller?,71,19,right,right,2.63,0
Which is bigger?,95,48,left,left,3.69,0
Which is smaller?,52,44,right,left,8.57,1
Choose the number closest to 10.,48,3,right,right,3.16,0
Choose the number closest to 10.,9,36,left,left,3.4,0
Choose the number closest to 10.,30,89,left,left,4.59,0
Choose the number closest to 10.,24,74,left,left,4.0,0
Which is smaller?,55,37,right,left,7.88,1
Which is smaller?,36,62,left,left,4.24,0
Choose the number closest to 10.,69,55,right,right,4.48,0
Which is bigger?,9,33,right,right,3.57,0
Which is bigger?,28,12,left,left,4.23,0
Which is smaller?,5,40,left,left,3.07,0
Which is smaller?,32,28,right,right,5.29,0
Which is bigger?,33,59,right,right,3.37,0
Choose the number closest to 10.,44,22,right,right,5.13,0
Which is smaller?,39,17,right,right,3.77,0
Which is smaller?,78,34,right,right,4.2,0
Which is bigger?,96,87,left,left,3.51,0
Choose the number closest to 10.,29,65,left,left,2.98,0
Which is bigger?,46,11,left,left,2.26,0
Choose the number closest to 10.,88,90,left,left,2.94,0
Which is smaller?,53,40,right,left,6.51,1
Which is smaller?,62,39,right,right,4.21,0
Which is bigger?,27,47,right,right,5.01,0
Choose the number closest to 10.,25,2,right,right,3.55,0
Choose the number closest to 10.,48,26,right,right,3.12,0
Which is smaller?,99,41,right,right,2.56,0
Which is bigger?,45,27,left,right,7.72,1
Choose the number closest to 10.,100,69,right,right,5.38,0
Which is bigger?,89,16,left,left,5.27,0
Choose the number closest to 10.,42,44,left,right,8.06,1
Choose the number closest to 10.,8,74,left,left,4.64,0
Choose the number closest to 10.,87,10,right,left,9.55,1
Choose the number closest to 10.,49,43,right,right,4.33,0
Choose the number closest to 10.,15,49,left,left,4.65,0
Choose the number closest to 10.,23,28,left,left,3.68,0
Which is bigger?,76,29,left,left,2.64,0
Choose the number closest to 10.,12,71,left,right,5.97,1
Which is bigger?,94,8,left,right,6.99,1
Choose the number closest to 10.,9,34,left,right,7.09,1
Which is bigger?,34,17,left,left,5.93,0
Which is bigger?,40,21,left,left,4.08,0
Choose the number closest to 10.,48,74,left,left,5.18,0
Which is bigger?,98,7,left,right,6.35,1
Choose the number closest to 10.,14,23,left,left,3.69,0
Which is smaller?,20,61,left,right,5.01,1
Which is smaller?,12,38,left,left,3.26,0
Which is bigger?,26,32,right,right,4.53,0
Choose the number closest to 10.,46,47,left,left,4.01,0
Which is bigger?,9,42,right,right,4.94,0
Which is bigger?,8,40,right,right,4.18,0
Which is smaller?,57,69,left,left,3.65,0
Choose the number closest to 10.,13,7,right,right,6.15,1
Choose the number closest to 10.,53,47,right,right,3.91,0
Which is smaller?,85,99,left,left,5.16,0
Which is smaller?,53,95,left,right,6.4,1
Which is smaller?,31,96,left,right,8.06,1
Which is smaller?,39,16,right,right,4.93,0
Choose the number closest to 10.,24,77,left,left,4.21,0
Which is bigger?,53,79,right,left,3.47,1
Choose the number closest to 10.,35,44,left,left,4.02,0
Which is smaller?,40,88,left,left,5.23,0
Choose the number closest to 10.,94,14,right,right,4.53,0
Which is bigger?,89,96,right,right,4.45,0
Choose the number closest to 10.,49,89,left,left,2.28,0
Which is bigger?,8,97,right,left,5.92,1
Choose the number closest to 10.,94,68,right,right,4.41,0
Which is bigger?,86,33,left,left,4.41,0
Choose the number closest to 10.,16,52,left,left,5.21,0
Which is smaller?,65,17,right,right,3.86,0
Which is bigger?,82,64,left,left,4.41,0
Choose the number closest to 10.,52,22,right,right,4.02,0
Which is smaller?,80,73,right,right,3.01,0
Which is bigger?,4,68,right,right,1.74,0
Which is smaller?,64,74,left,left,4.43,0
Choose the number closest to 10.,12,96,left,left,4.17,0
Which is smaller?,73,30,right,right,3.38,0
Choose the number closest to 10.,82,46,right,right,2.38,0
Which is bigger?,71,81,right,right,4.63,0
Choose the number closest to 10.,26,21,right,right,3.73,0
Which is bigger?,83,85,right,right,4.56,0
Which is smaller?,72,44,right,right,5.86,0
Choose the number closest to 10.,17,33,left,right,3.79,1
Choose the number closest to 10.,60,16,right,right,3.3,0
Which is smaller?,12,38,left,left,3.79,0
Choose the number closest to 10.,6,43,left,left,5.45,0
Choose the number closest to 10.,83,3,right,right,2.36,0
Which is bigger?,81,67,left,left,5.94,0
Which is smaller?,6,37,left,left,4.14,0
Which is bigger?,24,34,right,right,3.9,0
Which is smaller?,39,62,left,left,3.8,0
Which is smaller?,89,78,right,left,6.35,1
Which is bigger?,92,75,left,left,5.05,0
Which is bigger?,82,65,left,right,5.4,1
Choose the number closest to 10.,65,43,right,right,4.35,0
Choose the number closest to 10.,34,27,right,right,3.62,0
Which is smaller?,43,81,left,right,5.86,1
Which is smaller?,18,29,left,left,6.59,1
Which is smaller?,68,66,right,left,7.63,1
Which is smaller?,94,49,right,right,4.61,0
Choose the number closest to 10.,79,80,left,right,8.71,1
Which is bigger?,27,50,right,right,2.58,0
Which is bigger?,54,83,right,right,5.75,0
Which is bigger?,76,3,left,right,3.24,1
Which is bigger?,94,25,left,left,3.23,0
Which is bigger?,36,62,right,left,6.31,1
Which is smaller?,86,97,left,left,4.58,0
Which is bigger?,97,74,left,left,4.22,0
Which is bigger?,66,3,left,left,3.83,0
Which is bigger?,98,93,left,left,3.99,0
Choose the number closest to 10.,76,98,left,left,3.02,0
Which is bigger?,72,22,left,right,4.75,1
Choose the number closest to 10.,38,40,left,left,4.73,0
Choose the number closest to 10.,97,16,right,right,4.69,0
Choose the number closest to 10.,94,7,right,left,9.38,1
Which is bigger?,40,57,right,right,3.21,0
Which is bigger?,76,46,left,right,8.04,1
Choose the number closest to 10.,53,61,left,left,3.72,0
Which is bigger?,73,43,left,left,5.19,0
Which is bigger?,85,94,right,right,5.02,0
Which is bigger?,72,33,left,right,7.32,1
Choose the number closest to 10.,52,81,left,left,3.66,0
Which is smaller?,43,49,left,left,4.96,0
Which is bigger?,76,22,left,left,4.65,0
Choose the number closest to 10.,85,69,right,right,3.32,0
Which is bigger?,68,22,left,left,2.67,0
Which is bigger?,98,15,left,left,3.71,0
Which is bigger?,32,48,right,right,5.52,0
Which is smaller?,66,44,right,right,5.15,0
Choose the number closest to 10.,39,88,left,right,5.33,1
Which is smaller?,63,53,right,right,2.83,0
Choose the number closest to 10.,3,79,left,right,8.91,1
Which is smaller?,42,71,left,left,2.86,0
Which is smaller?,94,36,right,right,4.51,0
Choose the number closest to 10.,61,43,right,right,3.38,0
Which is bigger?,46,82,right,right,5.62,0
Which is smaller?,42,45,left,left,3.23,0
Choose the number closest to 10.,43,77,left,left,5.14,0
Choose the number closest to 10.,90,80,right,right,4.18,0
Choose the number closest to 10.,91,59,right,left,7.38,1
Which is bigger?,88,9,left,left,2.03,0
Which is smaller?,68,50,right,right,1.8,0
Which is bigger?,55,57,right,right,3.78,0
Which is bigger?,96,84,left,left,4.25,0
Choose the number closest to 10.,80,64,right,right,2.87,0
Which is smaller?,29,35,left,left,2.91,0
Which is smaller?,41,10,right,right,4.56,0
Choose the number closest to 10.,56,40,right,left,7.84,1
Choose the number closest to 10.,52,57,left,left,3.86,0
Which is smaller?,31,93,left,left,4.78,0
Which is bigger?,73,27,left,left,2.83,0
Choose the number closest to 10.,24,8,right,left,6.47,1
Which is smaller?,25,5,right,right,5.65,0
Choose the number closest to 10.,42,74,left,left,4.07,0
Choose the number closest to 10.,20,23,left,right,7.19,1
Which is bigger?,17,68,right,right,6.31,1
Choose the number closest to 10.,96,28,right,right,2.6,0
Choose the number closest to 10.,77,22,right,right,4.8,0
Which is smaller?,71,7,right,right,5.66,0
Choose the number closest to 10.,99,33,right,right,3.68,0
Choose the number closest to 10.,7,11,right,left,8.29,1
Choose the number closest to 10.,5,36,left,left,3.02,0
Which is bigger?,26,39,right,right,3.31,0
Which is bigger?,43,29,left,left,4.38,0
Which is bigger?,48,68,right,right,4.8,0
Choose the number closest to 10.,63,14,right,left,8.68,1
Which is smaller?,34,35,left,left,5.57,0
Which is bigger?,45,32,left,left,3.93,0
Which is smaller?,6,79,left,right,8.79,1
Which is smaller?,35,96,left,right,6.49,1
Which is smaller?,82,90,left,left,4.9,0
Which is bigger?,7,81,right,right,4.21,0
Which is bigger?,51,90,right,left,7.67,1
Which is smaller?,80,74,right,right,4.42,0
Choose the number closest to 10.,89,20,right,right,2.4,0
Which is smaller?,53,57,left,left,2.88,0
Choose the number closest to 10.,20,65,left,left,4.1,0
Which is bigger?,22,11,left,right,4.47,1
Which is smaller?,42,93,left,right,8.25,1
Choose the number closest to 10.,85,28,right,right,4.87,0
Which is bigger?,87,64,left,left,4.33,0
Which is smaller?,71,18,right,right,2.88,0
Which is bigger?,50,24,left,left,5.38,0
Which is bigger?,78,48,left,left,6.04,1
Choose the number closest to 10.,66,35,right,right,4.15,0
Which is smaller?,1,58,left,left,4.51,0
Which is bigger?,62,44,left,left,4.2,0
Choose the number closest to 10.,90,73,right,left,7.8,1
Choose the number closest to 10.,65,9,right,right,3.88,0
Which is smaller?,48,9,right,right,3.97,0
Choose the number closest to 10.,89,36,right,right,4.91,0
Which is smaller?,78,100,left,left,6.35,1
Which is bigger?,87,13,left,left,2.6,0
Which is smaller?,80,70,right,right,3.9,0
Choose the number closest to 10.,98,32,right,right,2.82,0
Choose the number closest to 10.,44,85,left,left,5.59,0
Which is smaller?,57,56,right,right,3.41,0
Which is smaller?,75,5,right,right,2.56,0
Which is smaller?,42,39,right,right,4.64,0
Which is smaller?,84,91,left,left,5.74,0
Which is smaller?,29,99,left,left,4.66,0
Which is smaller?,85,64,right,right,4.2,0
Which is smaller?,73,23,right,left,7.61,1
Choose the number closest to 10.,1,75,left,left,5.41,0
Choose the number closest to 10.,7,63,left,left,3.13,0
Choose the number closest to 10.,31,39,left,right,6.83,1
Which is smaller?,27,47,left,left,3.55,0
Which is smaller?,16,7,right,right,2.83,0
Which is bigger?,16,43,right,right,3.67,0
Which is smaller?,59,30,right,right,5.11,0
Choose the number closest to 10.,34,31,right,right,4.57,0
Choose the number closest to 10.,34,89,left,left,4.64,0
Which is bigger?,23,46,right,left,7.22,1
Which is smaller?,65,44,right,right,4.52,0
Which is bigger?,29,44,right,right,3.2,0
Choose the number closest to 10.,82,63,right,right,3.69,0
Which is smaller?,69,43,right,left,7.29,1
Which is smaller?,60,28,right,right,4.28,0
Which is smaller?,20,31,left,right,7.48,1
Choose the number closest to 10.,47,48,left,left,3.86,0
Which is bigger?,100,87,left,left,3.62,0
Which is smaller?,63,96,left,left,7.16,1
Which is smaller?,47,65,left,left,4.91,0
Which is smaller?,52,6,right,right,4.41,0
Choose the number closest to 10.,99,34,right,right,3.77,0
Which is bigger?,100,25,left,left,3.55,0
Which is bigger?,28,95,right,right,3.87,0
Choose the number closest to 10.,39,57,left,left,4.29,0
Which is bigger?,60,14,left,left,2.12,0
Choose the number closest to 10.,57,82,left,left,2.43,0
Which is smaller?,94,64,right,right,3.36,0
Which is smaller?,93,89,right,right,4.21,0
Which is smaller?,16,72,left,left,3.76,0
Which is smaller?,74,44,right,left,9.22,1
Choose the number closest to 10.,92,28,right,right,2.52,0
Which is smaller?,48,92,left,left,3.25,0
Which is bigger?,16,60,right,right,5.52,0
Choose the number closest to 10.,50,13,right,right,4.13,0
Which is smaller?,45,79,left,left,4.88,0
Choose the number closest to 10.,6,98,left,left,6.05,1
Choose the number closest to 10.,5,50,left,left,3.31,0
Choose the number closest to 10.,35,74,left,left,3.9,0
Choose the number closest to 10.,56,90,left,left,3.73,0
Choose the number closest to 10.,41,88,left,left,2.05,0
Choose the number closest to 10.,20,15,right,right,3.69,0
Which is smaller?,75,100,left,left,4.88,0
Choose the number closest to 10.,99,75,right,right,4.54,0
